,age,decile1,decile3,fam_inc,lsat,ugpa,cluster,fulltime,male,race1,pass_bar
46,-59.0,3.0,3.0,3.0,38.0,3.5,4.0,1.0,1.0,0,1.0
47,-62.0,8.0,10.0,4.0,30.0,3.5,3.0,1.0,0.0,0,1.0
48,-61.0,10.0,9.0,4.0,37.0,3.5,3.0,1.0,1.0,0,1.0
49,-60.0,4.0,4.0,4.0,32.0,3.5,4.0,1.0,0.0,0,1.0
51,-58.0,6.0,6.0,4.0,35.0,3.5,1.0,1.0,1.0,0,1.0
52,-60.0,9.0,10.0,4.0,44.0,3.5,3.0,1.0,0.0,0,1.0
54,-54.0,1.0,2.0,3.0,32.0,3.5,1.0,1.0,0.0,0,1.0
55,-63.0,10.0,10.0,4.0,37.0,3.5,1.0,1.0,0.0,0,1.0
56,-61.0,2.0,3.0,4.0,28.0,3.5,3.0,1.0,0.0,0,1.0
57,-59.0,10.0,10.0,3.0,39.0,3.5,1.0,1.0,1.0,0,1.0
58,-59.0,9.0,9.0,4.0,35.0,3.5,2.0,1.0,1.0,0,1.0
59,-68.0,2.0,1.0,4.0,37.0,3.5,4.0,1.0,0.0,3,1.0
60,-60.0,3.0,3.0,4.0,46.0,3.5,5.0,1.0,1.0,0,1.0
61,-59.0,2.0,3.0,4.0,39.0,3.5,4.0,1.0,1.0,0,1.0
63,-44.0,6.0,7.0,3.0,43.0,3.5,1.0,1.0,0.0,0,1.0
64,-62.0,9.0,8.0,4.0,34.0,3.5,3.0,1.0,0.0,0,1.0
65,-61.0,8.0,6.0,3.0,33.0,3.5,3.0,1.0,0.0,0,1.0
66,-55.0,10.0,10.0,4.0,43.0,3.5,3.0,1.0,0.0,0,1.0
67,-59.0,4.0,6.0,3.0,41.0,3.5,5.0,1.0,0.0,0,1.0
69,-54.0,8.0,6.0,2.0,33.0,3.5,3.0,1.0,0.0,0,1.0
70,-60.0,7.0,6.0,3.0,35.0,3.5,2.0,1.0,1.0,0,1.0
71,-61.0,5.0,5.0,1.0,42.0,3.5,1.0,1.0,0.0,0,1.0
72,-58.0,7.0,7.0,2.0,36.0,3.5,1.0,1.0,1.0,2,1.0
73,-47.0,2.0,4.0,4.0,46.0,3.5,4.0,1.0,0.0,0,1.0
74,-61.0,10.0,10.0,3.0,38.0,3.5,3.0,1.0,0.0,0,1.0
76,-61.0,2.0,4.0,3.0,35.0,3.5,2.0,1.0,1.0,0,1.0
77,-59.0,5.0,4.0,3.0,37.0,3.5,3.0,1.0,1.0,0,1.0
78,-55.0,7.0,7.0,3.0,37.7,3.5,1.0,1.0,0.0,0,1.0
79,-61.0,6.0,4.0,4.0,43.0,3.5,4.0,1.0,1.0,0,1.0
80,-63.0,6.0,6.0,3.0,31.0,3.5,4.0,1.0,1.0,1,1.0
81,-47.0,5.0,6.0,2.0,42.0,3.5,1.0,1.0,0.0,0,1.0
82,-48.0,5.0,7.0,3.0,35.0,3.5,3.0,2.0,1.0,0,1.0
83,-62.0,9.0,10.0,5.0,43.5,3.5,4.0,1.0,1.0,0,1.0
84,-62.0,6.0,7.0,4.0,29.0,3.5,2.0,1.0,1.0,0,1.0
85,-42.0,6.0,4.0,3.0,38.0,3.5,1.0,1.0,0.0,0,1.0
86,-62.0,6.0,7.0,4.0,37.0,3.5,3.0,1.0,1.0,0,1.0
87,-55.0,8.0,6.0,3.0,40.0,3.5,3.0,1.0,1.0,0,1.0
88,-62.0,2.0,4.0,3.0,44.0,3.5,5.0,1.0,1.0,0,1.0
89,-60.0,2.0,1.0,3.0,43.0,3.5,1.0,1.0,1.0,0,1.0
91,-59.0,10.0,9.0,3.0,38.0,3.5,3.0,1.0,1.0,0,1.0
92,-63.0,7.0,6.0,5.0,41.0,3.5,1.0,1.0,0.0,0,1.0
93,-49.0,6.0,9.0,2.0,45.0,3.5,3.0,1.0,1.0,0,0.0
94,-61.0,7.0,5.0,4.0,32.5,3.5,3.0,1.0,1.0,0,1.0
95,-62.0,5.0,5.0,5.0,35.0,3.5,1.0,1.0,1.0,0,1.0
97,-57.0,3.0,5.0,4.0,32.0,3.5,1.0,1.0,0.0,0,1.0
98,-62.0,6.0,5.0,4.0,39.0,3.5,3.0,1.0,0.0,0,1.0
99,-54.0,6.0,3.0,4.0,40.0,3.5,4.0,1.0,1.0,0,1.0
100,-61.0,1.0,1.0,4.0,45.0,3.5,5.0,1.0,1.0,0,1.0
101,-57.0,8.0,9.0,2.0,35.0,3.5,1.0,1.0,0.0,0,1.0
102,-61.0,6.0,4.0,3.0,29.0,3.5,3.0,1.0,1.0,0,1.0
103,-62.0,4.0,4.0,5.0,46.0,3.5,4.0,1.0,1.0,0,1.0
104,-62.0,4.0,4.0,3.0,44.0,3.5,1.0,1.0,0.0,0,1.0
106,-67.0,6.0,9.0,4.0,42.0,3.5,3.0,1.0,0.0,0,1.0
107,-62.0,9.0,9.0,4.0,32.0,3.5,1.0,1.0,0.0,0,1.0
108,-62.0,3.0,3.0,4.0,43.0,3.5,4.0,1.0,0.0,0,1.0
109,-61.0,4.0,2.0,3.0,30.5,3.5,3.0,1.0,0.0,0,1.0
110,-53.0,10.0,10.0,1.0,35.0,3.5,3.0,1.0,0.0,0,1.0
111,-62.0,4.0,3.0,3.0,34.0,3.5,3.0,1.0,1.0,0,1.0
112,-62.0,6.0,5.0,3.0,38.0,3.5,1.0,1.0,0.0,0,1.0
113,-63.0,4.0,6.0,3.0,33.0,3.5,4.0,1.0,0.0,0,1.0
114,-58.0,5.0,6.0,3.0,36.0,3.5,4.0,1.0,1.0,0,1.0
115,-61.0,9.0,9.0,4.0,41.0,3.5,4.0,1.0,1.0,0,1.0
117,-53.0,8.0,10.0,4.0,40.0,3.5,3.0,1.0,0.0,0,1.0
118,-61.0,6.0,8.0,2.0,23.3,3.5,6.0,1.0,1.0,3,1.0
119,-62.0,9.0,6.0,4.0,42.0,3.5,4.0,1.0,0.0,0,1.0
120,-55.0,10.0,10.0,3.0,47.0,3.5,4.0,2.0,1.0,0,1.0
121,-62.0,8.0,6.0,5.0,43.0,3.5,1.0,1.0,1.0,0,1.0
123,-63.0,3.0,3.0,4.0,30.0,3.5,3.0,1.0,1.0,0,1.0
124,-62.0,10.0,9.0,4.0,38.0,3.5,3.0,1.0,0.0,0,1.0
125,-55.0,2.0,3.0,3.0,44.0,3.5,5.0,1.0,1.0,0,1.0
126,-62.0,3.0,3.0,4.0,43.0,3.5,5.0,1.0,1.0,0,1.0
127,-66.0,4.0,4.0,4.0,45.0,3.5,3.0,1.0,1.0,0,1.0
129,-49.0,5.0,3.0,3.0,38.0,3.5,3.0,1.0,1.0,0,1.0
130,-62.0,8.0,7.0,4.0,41.0,3.5,3.0,1.0,0.0,0,1.0
131,-61.0,2.0,4.0,3.0,37.0,3.5,1.0,1.0,1.0,0,1.0
132,-60.0,4.0,3.0,5.0,25.0,3.5,1.0,1.0,0.0,0,0.0
133,-62.0,5.0,4.0,3.0,40.0,3.5,1.0,1.0,0.0,1,1.0
134,-60.0,5.0,6.0,3.0,40.0,3.5,1.0,1.0,0.0,0,1.0
135,-61.0,2.0,2.0,4.0,33.0,3.5,1.0,1.0,1.0,0,1.0
138,-59.0,8.0,9.0,4.0,31.5,3.5,4.0,1.0,0.0,0,1.0
139,-62.0,3.0,4.0,3.0,33.0,3.5,4.0,1.0,0.0,0,1.0
140,-60.0,10.0,10.0,4.0,43.0,3.5,3.0,1.0,1.0,0,1.0
141,-59.0,7.0,8.0,4.0,39.0,3.5,3.0,1.0,0.0,0,1.0
142,-62.0,7.0,8.0,3.0,43.0,3.5,4.0,1.0,1.0,0,1.0
143,-49.0,4.0,6.0,2.0,39.0,3.5,4.0,1.0,0.0,0,1.0
144,-62.0,8.0,6.0,5.0,44.0,3.5,5.0,1.0,1.0,0,1.0
145,-67.0,4.0,3.0,4.0,32.0,3.5,2.0,1.0,1.0,0,1.0
146,-61.0,9.0,10.0,3.0,35.0,3.5,2.0,1.0,0.0,0,1.0
148,-62.0,7.0,7.0,3.0,42.0,3.5,5.0,1.0,0.0,0,1.0
149,-62.0,5.0,3.0,4.0,33.0,3.5,1.0,1.0,0.0,1,1.0
150,-61.0,4.0,4.0,1.0,26.0,3.5,1.0,1.0,0.0,0,1.0
151,-42.0,2.0,2.0,4.0,39.0,3.5,1.0,1.0,0.0,0,1.0
152,-62.0,10.0,10.0,4.0,35.5,3.5,4.0,1.0,0.0,0,1.0
153,-61.0,8.0,6.0,3.0,33.0,3.5,1.0,1.0,1.0,0,1.0
155,-59.0,10.0,10.0,4.0,42.0,3.5,2.0,1.0,0.0,0,1.0
157,-63.0,8.0,8.0,2.0,32.0,3.5,6.0,1.0,1.0,3,1.0
158,-53.0,4.0,3.0,2.0,37.0,3.5,1.0,1.0,1.0,0,1.0
159,-60.0,5.0,6.0,4.0,38.0,3.5,3.0,1.0,1.0,0,1.0
160,-60.0,2.0,5.0,4.0,42.0,3.5,3.0,1.0,0.0,0,1.0
161,-59.0,9.0,10.0,4.0,40.0,3.5,6.0,1.0,1.0,0,1.0
162,-62.0,8.0,4.0,3.0,28.0,3.5,4.0,1.0,0.0,0,1.0
164,-45.0,3.0,3.0,4.0,45.0,3.5,5.0,1.0,1.0,0,1.0
165,-62.0,5.0,4.0,4.0,35.0,3.5,3.0,1.0,0.0,0,1.0
166,-60.0,5.0,4.0,4.0,39.0,3.5,1.0,1.0,1.0,0,1.0
167,-52.0,7.0,9.0,2.0,39.0,3.5,4.0,2.0,1.0,0,1.0
169,-62.0,4.0,4.0,3.0,39.0,3.5,4.0,1.0,0.0,0,1.0
170,-61.0,7.0,8.0,3.0,39.0,3.5,4.0,1.0,0.0,0,1.0
171,-44.0,4.0,2.0,3.0,39.0,3.5,1.0,1.0,1.0,0,0.0
172,-61.0,7.0,5.0,4.0,34.0,3.5,1.0,1.0,0.0,0,1.0
173,-59.0,1.0,3.0,5.0,46.0,3.5,5.0,1.0,1.0,0,1.0
174,-62.0,6.0,6.0,3.0,45.0,3.5,3.0,1.0,0.0,0,1.0
175,-62.0,2.0,1.0,4.0,41.0,3.5,4.0,1.0,0.0,2,1.0
176,-54.0,3.0,5.0,3.0,32.0,3.5,2.0,1.0,1.0,0,1.0
177,-62.0,10.0,10.0,4.0,37.0,3.5,1.0,1.0,0.0,0,1.0
178,-62.0,8.0,8.0,4.0,42.0,3.5,4.0,1.0,0.0,0,1.0
179,-61.0,9.0,7.0,3.0,29.0,3.5,3.0,1.0,1.0,0,1.0
180,-62.0,6.0,5.0,3.0,34.0,3.5,3.0,1.0,1.0,0,1.0
181,-61.0,10.0,10.0,3.0,40.0,3.5,3.0,1.0,1.0,0,1.0
182,-62.0,1.0,1.0,5.0,41.0,3.5,1.0,1.0,0.0,0,1.0
183,-61.0,9.0,10.0,4.0,44.0,3.5,5.0,1.0,1.0,0,1.0
185,-62.0,6.0,4.0,4.0,36.0,3.5,1.0,1.0,1.0,0,1.0
186,-59.0,10.0,10.0,3.0,31.0,3.5,3.0,1.0,1.0,0,1.0
187,-60.0,2.0,3.0,2.0,32.5,3.5,4.0,1.0,0.0,3,1.0
188,-63.0,4.0,6.0,3.0,40.0,3.5,4.0,1.0,1.0,0,1.0
189,-62.0,7.0,6.0,4.0,36.0,3.5,3.0,1.0,0.0,0,1.0
190,-49.0,5.0,8.0,3.0,41.0,3.5,1.0,1.0,1.0,0,1.0
191,-62.0,8.0,8.0,4.0,33.0,3.5,3.0,1.0,0.0,0,1.0
192,-61.0,5.0,4.0,3.0,32.0,3.5,3.0,1.0,0.0,0,1.0
193,-65.0,7.0,9.0,4.0,44.0,3.5,4.0,1.0,1.0,0,1.0
194,-61.0,5.0,7.0,4.0,42.0,3.5,4.0,1.0,0.0,0,1.0
195,-62.0,9.0,8.0,3.0,39.0,3.5,3.0,1.0,0.0,0,1.0
196,-61.0,5.0,5.0,4.0,48.0,3.5,1.0,1.0,0.0,0,1.0
197,-62.0,9.0,7.0,4.0,42.0,3.5,1.0,1.0,1.0,0,1.0
198,-62.0,7.0,7.0,4.0,38.0,3.5,1.0,1.0,1.0,0,1.0
199,-53.0,8.0,9.0,4.0,39.0,3.5,5.0,1.0,0.0,0,1.0
200,-58.0,10.0,10.0,4.0,42.0,3.5,5.0,1.0,1.0,0,1.0
201,-60.0,5.0,4.0,4.0,46.0,3.5,5.0,1.0,0.0,2,1.0
202,-54.0,7.0,7.0,4.0,41.0,3.5,4.0,1.0,1.0,0,1.0
203,-63.0,9.0,8.0,3.0,39.0,3.5,1.0,1.0,1.0,0,1.0
204,-61.0,9.0,8.0,4.0,32.0,3.5,3.0,1.0,0.0,0,1.0
206,-57.0,3.0,4.0,3.0,40.0,3.5,4.0,1.0,0.0,0,1.0
207,-56.0,9.0,9.0,4.0,42.0,3.5,3.0,2.0,0.0,0,1.0
208,-61.0,8.0,8.0,4.0,40.5,3.5,4.0,1.0,1.0,0,1.0
209,-61.0,6.0,3.0,3.0,41.0,3.5,1.0,1.0,1.0,0,1.0
210,-62.0,7.0,4.0,4.0,38.0,3.5,3.0,1.0,1.0,0,1.0
211,-55.0,5.0,6.0,3.0,33.0,3.5,3.0,1.0,0.0,0,1.0
212,-61.0,4.0,7.0,3.0,37.0,3.5,1.0,1.0,1.0,0,1.0
213,-65.0,9.0,9.0,4.0,41.0,3.5,4.0,1.0,0.0,0,1.0
214,-58.0,6.0,5.0,3.0,37.0,3.5,1.0,1.0,0.0,0,1.0
215,-61.0,7.0,3.0,3.0,39.5,3.5,3.0,1.0,0.0,0,1.0
216,-54.0,4.0,6.0,2.0,39.0,3.5,1.0,1.0,0.0,0,1.0
217,-62.0,3.0,2.0,4.0,33.0,3.5,3.0,1.0,1.0,0,1.0
218,-62.0,4.0,3.0,3.0,35.5,3.5,3.0,1.0,1.0,0,1.0
219,-60.0,10.0,10.0,3.0,32.0,3.5,3.0,1.0,0.0,0,1.0
220,-62.0,10.0,10.0,4.0,41.0,3.5,1.0,1.0,0.0,0,1.0
221,-43.0,2.0,2.0,2.0,34.0,3.5,3.0,1.0,0.0,0,1.0
222,-58.0,9.0,9.0,2.0,33.0,3.5,4.0,1.0,1.0,0,1.0
224,-61.0,4.0,4.0,4.0,41.0,3.5,1.0,1.0,0.0,0,1.0
225,-60.0,7.0,8.0,2.0,34.0,3.5,4.0,1.0,1.0,0,1.0
226,-49.0,6.0,7.0,3.0,31.0,3.5,3.0,1.0,0.0,0,1.0
227,-59.0,1.0,2.0,3.0,47.0,3.5,5.0,1.0,0.0,0,1.0
228,-49.0,7.0,9.0,3.0,37.0,3.5,4.0,1.0,0.0,0,1.0
229,-62.0,5.0,4.0,4.0,31.0,3.5,2.0,1.0,0.0,0,1.0
230,-62.0,2.0,1.0,3.0,31.0,3.5,4.0,1.0,1.0,0,1.0
231,-61.0,10.0,10.0,5.0,48.0,3.5,1.0,1.0,1.0,0,1.0
232,-55.0,3.0,5.0,3.0,47.0,3.5,1.0,1.0,1.0,0,1.0
233,-62.0,8.0,9.0,3.0,42.0,3.5,2.0,1.0,1.0,0,1.0
235,-54.0,8.0,9.0,3.0,34.0,3.5,1.0,1.0,0.0,2,1.0
236,-53.0,9.0,9.0,2.0,31.5,3.5,2.0,1.0,0.0,0,1.0
237,-59.0,10.0,10.0,3.0,34.0,3.5,3.0,1.0,0.0,0,1.0
238,-62.0,7.0,6.0,4.0,46.0,3.5,4.0,1.0,1.0,0,1.0
239,-52.0,1.0,1.0,3.0,31.0,3.5,1.0,1.0,0.0,0,0.0
240,-51.0,2.0,2.0,4.0,36.0,3.5,3.0,1.0,0.0,0,1.0
241,-62.0,5.0,7.0,4.0,46.0,3.5,5.0,1.0,1.0,0,1.0
242,-61.0,10.0,10.0,4.0,43.0,3.5,3.0,2.0,1.0,0,1.0
243,-58.0,8.0,9.0,4.0,46.0,3.5,4.0,1.0,0.0,0,1.0
244,-64.0,4.0,4.0,4.0,22.0,3.5,3.0,1.0,0.0,3,0.0
245,-51.0,6.0,7.0,3.0,32.0,3.5,4.0,2.0,1.0,0,1.0
246,-58.0,4.0,5.0,2.0,38.0,3.5,1.0,2.0,0.0,0,1.0
247,-66.0,7.0,7.0,4.0,48.0,3.5,5.0,1.0,1.0,0,1.0
248,-62.0,8.0,7.0,3.0,38.0,3.5,1.0,1.0,1.0,0,1.0
249,-60.0,2.0,7.0,3.0,33.0,3.5,1.0,2.0,1.0,0,1.0
250,-60.0,4.0,6.0,3.0,42.0,3.5,1.0,1.0,0.0,0,1.0
251,-59.0,3.0,3.0,3.0,38.0,3.5,1.0,1.0,0.0,2,1.0
252,-62.0,8.0,5.0,5.0,42.0,3.5,4.0,1.0,0.0,0,1.0
253,-62.0,5.0,7.0,4.0,38.0,3.5,4.0,1.0,1.0,0,1.0
255,-62.0,3.0,4.0,4.0,39.5,3.5,1.0,1.0,1.0,0,1.0
256,-62.0,9.0,8.0,4.0,29.0,3.5,2.0,1.0,1.0,0,1.0
257,-62.0,1.0,1.0,3.0,30.0,3.5,3.0,1.0,0.0,2,1.0
259,-66.0,3.0,1.0,5.0,42.0,3.5,5.0,1.0,1.0,0,1.0
260,-68.0,6.0,8.0,3.0,36.0,3.5,3.0,1.0,0.0,0,1.0
261,-62.0,8.0,8.0,3.0,37.0,3.5,1.0,1.0,0.0,0,1.0
262,-56.0,9.0,8.0,3.0,38.0,3.5,4.0,1.0,1.0,2,1.0
263,-60.0,6.0,5.0,3.0,45.0,3.5,4.0,1.0,1.0,0,1.0
264,-59.0,4.0,4.0,1.0,43.0,3.5,1.0,1.0,0.0,0,1.0
265,-45.0,10.0,8.0,4.0,37.0,3.5,3.0,2.0,0.0,0,1.0
266,-59.0,9.0,9.0,4.0,39.0,3.5,4.0,1.0,0.0,0,1.0
267,-53.0,5.0,8.0,4.0,38.0,3.5,1.0,1.0,1.0,0,1.0
268,-62.0,1.0,1.0,5.0,30.0,3.5,3.0,1.0,0.0,0,1.0
269,-52.0,6.0,5.0,4.0,33.0,3.5,3.0,1.0,0.0,0,1.0
270,-46.0,10.0,10.0,3.0,39.0,3.5,1.0,1.0,0.0,0,1.0
271,-66.0,4.0,6.0,4.0,42.0,3.5,3.0,1.0,1.0,0,1.0
272,-51.0,2.0,1.0,3.0,36.0,3.5,1.0,1.0,1.0,0,0.0
273,-62.0,8.0,7.0,3.0,30.5,3.5,2.0,1.0,0.0,0,1.0
274,-60.0,1.0,2.0,4.0,36.0,3.5,3.0,2.0,0.0,0,1.0
275,-62.0,9.0,8.0,4.0,45.0,3.5,4.0,1.0,0.0,0,1.0
276,-61.0,3.0,2.0,5.0,29.0,3.5,3.0,1.0,1.0,0,1.0
277,-58.0,7.0,8.0,5.0,43.0,3.5,3.0,1.0,1.0,0,1.0
278,-61.0,8.0,7.0,4.0,48.0,3.5,5.0,1.0,1.0,0,1.0
279,-62.0,8.0,10.0,4.0,35.5,3.5,3.0,1.0,1.0,0,1.0
280,-62.0,8.0,5.0,3.0,40.0,3.5,4.0,1.0,0.0,0,1.0
281,-59.0,6.0,4.0,2.0,40.0,3.5,1.0,1.0,0.0,0,1.0
282,-59.0,10.0,10.0,1.0,38.0,3.5,4.0,2.0,0.0,0,1.0
283,-67.0,1.0,1.0,3.0,44.0,3.5,1.0,1.0,1.0,0,1.0
284,-54.0,6.0,7.0,5.0,33.0,3.5,3.0,1.0,0.0,2,1.0
285,-61.0,4.0,4.0,4.0,34.0,3.5,5.0,1.0,1.0,1,1.0
286,-62.0,6.0,6.0,4.0,37.0,3.5,1.0,1.0,1.0,0,1.0
287,-62.0,9.0,8.0,4.0,38.0,3.5,3.0,1.0,1.0,0,1.0
288,-61.0,6.0,6.0,4.0,44.0,3.5,4.0,1.0,1.0,0,1.0
289,-62.0,8.0,9.0,5.0,39.0,3.5,5.0,1.0,0.0,0,1.0
290,-62.0,3.0,3.0,3.0,26.0,3.5,1.0,1.0,0.0,3,1.0
291,-61.0,9.0,10.0,4.0,40.0,3.5,3.0,1.0,0.0,0,1.0
292,-57.0,10.0,9.0,3.0,43.5,3.5,5.0,1.0,1.0,0,1.0
294,-62.0,5.0,7.0,4.0,37.0,3.5,1.0,1.0,0.0,0,1.0
295,-61.0,1.0,1.0,4.0,40.0,3.5,4.0,1.0,1.0,0,1.0
296,-61.0,4.0,6.0,4.0,41.0,3.5,3.0,1.0,0.0,0,1.0
298,-56.0,10.0,6.0,3.0,39.0,3.5,5.0,1.0,1.0,0,1.0
299,-62.0,4.0,6.0,4.0,30.5,3.5,1.0,1.0,1.0,0,1.0
301,-61.0,4.0,5.0,3.0,34.0,3.5,3.0,1.0,0.0,0,1.0
302,-60.0,9.0,7.0,4.0,36.0,3.5,3.0,1.0,1.0,0,1.0
303,-59.0,8.0,8.0,3.0,46.0,3.5,4.0,1.0,0.0,0,1.0
304,-66.0,3.0,3.0,3.0,37.0,3.5,1.0,1.0,0.0,0,0.0
305,-64.0,3.0,3.0,3.0,44.0,3.5,3.0,1.0,0.0,0,1.0
306,-44.0,2.0,6.0,1.0,43.0,3.5,4.0,1.0,0.0,0,1.0
307,-57.0,4.0,1.0,3.0,32.0,3.5,3.0,1.0,1.0,1,1.0
308,-62.0,4.0,6.0,4.0,42.0,3.5,4.0,1.0,0.0,0,1.0
309,-61.0,7.0,9.0,4.0,42.0,3.5,5.0,1.0,0.0,0,1.0
310,-61.0,1.0,2.0,4.0,45.0,3.5,5.0,1.0,0.0,0,1.0
311,-59.0,5.0,3.0,3.0,35.5,3.5,3.0,1.0,0.0,0,1.0
312,-62.0,10.0,10.0,4.0,34.0,3.5,3.0,1.0,0.0,0,1.0
313,-61.0,10.0,9.0,4.0,39.0,3.5,1.0,1.0,1.0,0,1.0
316,-61.0,5.0,3.0,4.0,44.0,3.5,4.0,1.0,0.0,0,1.0
317,-67.0,7.0,4.0,4.0,35.0,3.5,3.0,2.0,0.0,0,1.0
318,-52.0,3.0,4.0,4.0,37.0,3.5,1.0,1.0,0.0,0,1.0
319,-62.0,9.0,9.0,3.0,33.0,3.5,4.0,1.0,0.0,0,1.0
320,-62.0,6.0,7.0,3.0,35.0,3.5,3.0,1.0,1.0,0,1.0
321,-61.0,4.0,5.0,5.0,38.0,3.5,4.0,1.0,1.0,0,1.0
322,-54.0,2.0,2.0,2.0,37.0,3.5,3.0,1.0,0.0,0,1.0
323,-60.0,5.0,8.0,4.0,40.0,3.5,4.0,1.0,0.0,0,1.0
324,-52.0,5.0,3.0,3.0,33.0,3.5,3.0,1.0,1.0,0,1.0
325,-61.0,8.0,5.0,4.0,38.5,3.5,3.0,1.0,1.0,0,1.0
326,-59.0,5.0,5.0,4.0,33.0,3.5,1.0,1.0,0.0,0,1.0
327,-61.0,1.0,1.0,4.0,45.0,3.5,4.0,1.0,1.0,0,1.0
329,-64.0,2.0,2.0,3.0,30.0,3.5,5.0,1.0,1.0,0,1.0
330,-50.0,8.0,7.0,2.0,31.0,3.5,1.0,1.0,0.0,0,1.0
331,-61.0,10.0,10.0,2.0,40.0,3.5,1.0,1.0,0.0,0,1.0
332,-61.0,9.0,9.0,4.0,46.0,3.5,5.0,1.0,1.0,0,1.0
333,-62.0,7.0,5.0,5.0,44.0,3.5,1.0,1.0,1.0,4,1.0
334,-56.0,7.0,7.0,2.0,28.0,3.5,3.0,1.0,1.0,0,1.0
335,-62.0,5.0,6.0,4.0,37.0,3.5,1.0,1.0,0.0,0,1.0
336,-59.0,3.0,2.0,5.0,34.0,3.5,3.0,1.0,1.0,0,1.0
337,-60.0,5.0,2.0,3.0,29.0,3.5,6.0,1.0,0.0,0,1.0
338,-61.0,6.0,5.0,4.0,35.0,3.5,3.0,1.0,1.0,0,1.0
339,-60.0,3.0,4.0,4.0,28.0,3.5,3.0,1.0,0.0,1,1.0
340,-60.0,5.0,4.0,4.0,38.0,3.5,1.0,1.0,1.0,0,1.0
