age,workclass,education,marital_status,relationship,occupation,race,gender,capital_gain,capital_loss,hours_per_week,income
43,Private,Some-college,Married,Husband,Service,White,Male,0,0,40,1
46,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,40,0
35,Private,Assoc,Married,Husband,Service,White,Male,0,0,40,0
41,Private,HS-grad,Married,Husband,White-Collar,White,Male,0,0,48,0
30,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,5013,0,40,0
30,Private,Bachelors,Married,Husband,Sales,White,Male,2407,0,40,0
32,Other/Unknown,School,Married,Not-in-family,Other/Unknown,White,Male,0,0,40,0
48,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
42,Private,Doctorate,Married,Husband,Professional,White,Male,0,0,45,1
29,Private,Some-college,Divorced,Not-in-family,Service,White,Male,0,0,58,0
36,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
28,Private,Some-college,Divorced,Not-in-family,White-Collar,White,Female,0,0,40,0
53,Private,HS-grad,Married,Wife,White-Collar,White,Female,0,0,40,1
49,Self-Employed,Some-college,Married,Husband,White-Collar,White,Male,0,0,50,1
25,Other/Unknown,Some-college,Single,Own-child,Other/Unknown,White,Male,0,0,40,0
19,Private,Some-college,Single,Own-child,Professional,White,Male,0,0,32,0
31,Private,Bachelors,Separated,Own-child,Sales,Black,Female,0,0,40,0
29,Self-Employed,Bachelors,Married,Husband,Sales,White,Male,0,0,70,1
23,Private,Some-college,Single,Not-in-family,Blue-Collar,White,Male,0,0,40,0
79,Private,Some-college,Married,Other-relative,Professional,White,Male,0,0,20,0
27,Private,HS-grad,Single,Own-child,Service,White,Male,0,0,40,0
40,Private,Assoc,Married,Husband,White-Collar,White,Male,0,0,40,0
67,Other/Unknown,School,Married,Husband,Other/Unknown,White,Male,0,0,2,0
18,Private,School,Single,Own-child,Service,White,Female,0,0,22,0
31,Government,School,Married,Husband,Blue-Collar,White,Male,0,0,40,0
18,Private,HS-grad,Single,Not-in-family,Sales,White,Male,0,0,30,0
52,Private,Bachelors,Married,Husband,Service,White,Male,0,0,40,0
46,Private,HS-grad,Married,Wife,Service,White,Female,0,0,40,0
59,Private,HS-grad,Married,Husband,Sales,White,Male,0,0,48,0
44,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,White,Female,14344,0,40,1
53,Private,HS-grad,Divorced,Own-child,Sales,White,Female,0,0,35,0
49,Government,HS-grad,Married,Husband,Service,White,Male,0,0,40,1
33,Private,Masters,Married,Husband,Professional,White,Male,0,0,50,0
30,Private,School,Single,Not-in-family,Sales,White,Male,0,0,40,0
43,Government,Doctorate,Single,Not-in-family,Professional,White,Female,0,0,50,1
57,Private,Assoc,Married,Husband,Professional,White,Male,0,0,40,0
37,Private,Some-college,Divorced,Unmarried,Blue-Collar,White,Female,0,0,40,0
28,Private,Some-college,Divorced,Unmarried,Blue-Collar,Black,Female,0,0,25,0
30,Private,HS-grad,Married,Wife,Sales,Asian-Pac-Islander,Female,0,1573,35,0
34,Government,Bachelors,Married,Husband,Service,White,Male,0,0,40,1
29,Government,Some-college,Single,Not-in-family,Blue-Collar,White,Male,0,0,50,0
48,Self-Employed,Doctorate,Married,Husband,Professional,White,Male,0,1902,60,1
37,Private,Some-college,Married,Husband,Sales,White,Male,0,0,48,1
48,Private,Assoc,Divorced,Unmarried,White-Collar,White,Female,0,0,40,0
32,Government,HS-grad,Single,Own-child,Service,Black,Male,0,0,40,0
76,Private,Masters,Married,Husband,White-Collar,White,Male,0,0,40,1
44,Private,Bachelors,Married,Husband,White-Collar,White,Male,15024,0,60,1
47,Self-Employed,Masters,Single,Not-in-family,Professional,White,Female,0,0,50,0
20,Private,Some-college,Single,Own-child,Service,White,Female,0,0,40,0
29,Private,HS-grad,Single,Not-in-family,Blue-Collar,White,Male,0,0,40,0
32,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,7688,0,40,1
17,Other/Unknown,School,Single,Own-child,Other/Unknown,White,Female,34095,0,32,0
30,Private,School,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
31,Government,HS-grad,Single,Not-in-family,White-Collar,White,Female,0,0,40,0
42,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
24,Private,Bachelors,Single,Other-relative,Sales,White,Male,0,0,40,0
38,Private,Prof-school,Married,Husband,Professional,White,Male,0,0,40,1
56,Self-Employed,HS-grad,Married,Husband,Service,White,Male,0,1887,50,1
28,Private,Some-college,Married,Wife,Sales,White,Female,4064,0,25,0
36,Private,HS-grad,Single,Own-child,Blue-Collar,White,Female,0,0,40,0
53,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,50,0
56,Self-Employed,Some-college,Married,Husband,Sales,White,Male,0,0,50,0
49,Government,Assoc,Married,Husband,Blue-Collar,Black,Male,0,0,40,1
55,Private,Some-college,Married,Husband,Sales,White,Male,0,0,56,0
22,Private,HS-grad,Single,Not-in-family,Blue-Collar,White,Male,0,0,41,0
21,Private,Some-college,Single,Own-child,Service,White,Female,0,0,40,0
40,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,60,0
30,Private,Bachelors,Single,Own-child,White-Collar,Black,Male,0,0,40,0
29,Government,Bachelors,Married,Husband,Professional,White,Male,0,0,50,1
19,Private,Some-college,Single,Own-child,Service,Black,Male,0,0,35,0
47,Private,Bachelors,Married,Wife,White-Collar,White,Female,0,0,40,1
20,Private,Some-college,Single,Own-child,White-Collar,White,Female,0,1719,28,0
31,Private,Assoc,Married,Husband,White-Collar,White,Male,0,0,40,1
35,Other/Unknown,HS-grad,Married,Husband,Other/Unknown,White,Male,0,0,40,0
39,Private,Some-college,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,40,0
28,Private,Assoc,Single,Not-in-family,Sales,White,Female,0,0,60,0
24,Private,HS-grad,Single,Not-in-family,Service,White,Female,0,1762,40,0
38,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,4386,0,35,0
37,Private,Bachelors,Married,Husband,Sales,White,Male,0,0,50,0
46,Private,Assoc,Divorced,Not-in-family,Service,Black,Female,0,0,36,0
38,Government,Masters,Married,Husband,Professional,White,Male,0,0,40,1
43,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,60,0
27,Private,Assoc,Married,Wife,White-Collar,White,Female,0,0,35,0
20,Private,Some-college,Single,Own-child,Sales,White,Male,0,0,20,0
49,Private,Some-college,Married,Husband,Blue-Collar,Asian-Pac-Islander,Male,0,0,40,1
61,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
27,Private,Some-college,Single,Own-child,Sales,White,Female,0,0,40,0
19,Private,Some-college,Single,Own-child,Service,White,Male,0,0,30,0
45,Private,Assoc,Single,Not-in-family,Professional,White,Female,0,1564,40,1
70,Private,Some-college,Single,Other-relative,Service,White,Male,0,0,40,0
31,Private,HS-grad,Single,Unmarried,Blue-Collar,Black,Female,0,0,30,0
22,Private,Some-college,Married,Husband,Service,White,Male,0,0,24,0
36,Private,HS-grad,Widowed,Unmarried,Service,White,Female,0,0,24,0
64,Private,School,Married,Husband,Blue-Collar,White,Male,0,2179,40,0
43,Other/Unknown,Some-college,Divorced,Not-in-family,Other/Unknown,White,Female,0,0,40,0
47,Government,Some-college,Divorced,Unmarried,White-Collar,White,Female,0,0,38,0
34,Private,HS-grad,Single,Not-in-family,White-Collar,White,Female,0,0,40,0
33,Private,Bachelors,Single,Other-relative,White-Collar,Asian-Pac-Islander,Female,0,0,40,0
21,Private,HS-grad,Single,Own-child,Blue-Collar,White,Male,0,0,35,0
52,Other/Unknown,HS-grad,Divorced,Not-in-family,Other/Unknown,White,Male,0,0,45,1
48,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,46,0
23,Private,Bachelors,Single,Not-in-family,Blue-Collar,White,Male,0,0,40,0
71,Self-Employed,Some-college,Separated,Unmarried,Sales,Black,Male,0,1816,2,0
29,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,60,0
42,Private,Bachelors,Separated,Other-relative,Service,Black,Male,0,0,50,0
68,Other/Unknown,School,Divorced,Not-in-family,Other/Unknown,White,Female,0,0,20,0
25,Private,HS-grad,Single,Unmarried,Service,White,Female,0,0,40,0
44,Self-Employed,Masters,Divorced,Unmarried,White-Collar,Asian-Pac-Islander,Female,0,0,40,0
28,Private,HS-grad,Single,Not-in-family,White-Collar,Asian-Pac-Islander,Female,0,0,40,0
45,Self-Employed,Masters,Married,Husband,Sales,White,Male,0,0,40,1
36,Private,Some-college,Divorced,Unmarried,Service,White,Female,0,0,40,0
39,Government,Assoc,Single,Not-in-family,White-Collar,White,Male,0,0,42,0
46,Government,Masters,Widowed,Unmarried,Service,White,Male,0,0,40,0
18,Private,School,Single,Own-child,Blue-Collar,White,Male,0,0,16,0
66,Government,Assoc,Widowed,Not-in-family,Professional,White,Female,0,0,20,0
27,Private,HS-grad,Single,Not-in-family,Service,White,Male,0,1980,40,0
28,Government,HS-grad,Married,Husband,Service,White,Male,0,0,40,0
51,Private,Some-college,Married,Husband,Sales,White,Male,0,1977,40,1
27,Private,Bachelors,Single,Not-in-family,Blue-Collar,White,Male,0,0,50,0
28,Government,Bachelors,Married,Husband,Professional,White,Male,0,0,40,1
27,Private,HS-grad,Married,Unmarried,Sales,White,Female,0,0,25,0
21,Private,HS-grad,Single,Own-child,Blue-Collar,Black,Male,0,0,40,0
34,Private,HS-grad,Single,Not-in-family,Blue-Collar,Black,Male,0,0,40,0
18,Private,HS-grad,Single,Own-child,Service,White,Male,0,0,12,0
33,Private,Bachelors,Married,Husband,Professional,White,Male,0,0,65,0
44,Government,Some-college,Married,Husband,White-Collar,Black,Male,0,0,38,1
43,Private,Some-college,Divorced,Not-in-family,White-Collar,White,Female,0,0,40,0
30,Private,Some-college,Single,Not-in-family,Blue-Collar,Black,Male,0,0,45,0
40,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,40,1
37,Government,Some-college,Married,Husband,White-Collar,White,Male,0,0,42,1
34,Private,HS-grad,Married,Husband,White-Collar,Black,Male,0,0,40,0
41,Self-Employed,Bachelors,Divorced,Not-in-family,White-Collar,White,Female,0,0,40,0
53,Other/Unknown,Bachelors,Divorced,Not-in-family,Other/Unknown,White,Female,0,0,50,0
31,Private,Masters,Married,Wife,Professional,White,Female,0,0,50,0
58,Government,Doctorate,Married,Husband,Professional,White,Male,0,0,1,1
38,Private,Some-college,Divorced,Not-in-family,Blue-Collar,Black,Female,0,0,28,0
24,Private,Some-college,Married,Husband,Blue-Collar,White,Male,0,0,40,0
41,Government,Bachelors,Married,Husband,Blue-Collar,Black,Male,0,0,40,0
47,Private,Some-college,Married,Husband,Service,White,Male,0,0,45,0
41,Government,Bachelors,Married,Husband,Service,White,Male,0,0,24,0
23,Private,School,Married,Other-relative,Blue-Collar,White,Male,0,0,40,0
36,Private,Some-college,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,40,0
40,Government,Masters,Single,Not-in-family,White-Collar,White,Female,14084,0,55,1
35,Private,Masters,Married,Other-relative,Professional,White,Male,7298,0,40,1
24,Self-Employed,HS-grad,Single,Not-in-family,Sales,White,Male,0,0,40,0
26,Private,Masters,Single,Not-in-family,Professional,White,Female,0,1876,40,0
19,Other/Unknown,HS-grad,Single,Own-child,Other/Unknown,White,Male,0,0,40,0
51,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,50,1
42,Government,Some-college,Single,Not-in-family,Professional,White,Female,0,1340,40,0
37,Government,HS-grad,Divorced,Unmarried,White-Collar,White,Female,0,0,35,0
18,Private,School,Single,Own-child,Sales,White,Female,0,0,40,0
36,Private,Bachelors,Married,Husband,Service,Black,Male,7298,0,36,1
35,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,60,0
58,Self-Employed,HS-grad,Married,Wife,Sales,White,Female,15024,0,35,1
17,Private,School,Single,Own-child,Sales,White,Female,0,0,12,0
44,Government,HS-grad,Married,Husband,Blue-Collar,Black,Male,0,0,40,0
37,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,1
35,Private,Some-college,Single,Not-in-family,Sales,Amer-Indian-Eskimo,Female,0,0,40,0
60,Private,HS-grad,Married,Husband,Blue-Collar,Asian-Pac-Islander,Male,0,0,40,0
54,Self-Employed,School,Married,Husband,Blue-Collar,White,Male,0,0,40,1
37,Private,Bachelors,Single,Not-in-family,White-Collar,Black,Male,0,0,60,1
50,Private,Assoc,Divorced,Not-in-family,Sales,White,Female,0,0,40,0
38,Private,Bachelors,Married,Husband,Sales,White,Male,0,0,50,0
45,Private,Bachelors,Married,Husband,Professional,White,Male,0,0,55,0
25,Private,School,Single,Not-in-family,Blue-Collar,White,Male,0,0,40,0
31,Private,Some-college,Married,Husband,Blue-Collar,White,Male,0,0,40,0
64,Other/Unknown,School,Divorced,Not-in-family,Other/Unknown,White,Male,0,0,40,0
90,Private,HS-grad,Single,Not-in-family,Service,Black,Male,0,2206,40,0
54,Private,HS-grad,Married,Husband,White-Collar,Black,Male,0,0,20,0
53,Government,School,Single,Not-in-family,Blue-Collar,White,Female,0,0,35,0
18,Private,HS-grad,Single,Own-child,Sales,White,Female,0,0,40,0
60,Other/Unknown,School,Divorced,Not-in-family,Other/Unknown,Amer-Indian-Eskimo,Female,0,0,10,0
66,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,1409,0,50,0
75,Private,Assoc,Widowed,Not-in-family,White-Collar,White,Female,0,0,20,0
65,Private,HS-grad,Divorced,Not-in-family,White-Collar,White,Female,0,0,40,0
35,Private,School,Separated,Not-in-family,Blue-Collar,Black,Male,3674,0,40,0
41,Private,HS-grad,Divorced,Unmarried,Sales,Black,Female,0,0,38,0
25,Private,Some-college,Single,Not-in-family,White-Collar,White,Male,0,0,42,0
33,Private,Some-college,Divorced,Other-relative,Blue-Collar,Other,Female,0,0,40,0
28,Private,Prof-school,Single,Not-in-family,Professional,White,Male,0,0,55,1
59,Government,HS-grad,Married,Husband,Service,White,Male,0,0,40,0
40,Government,Some-college,Single,Not-in-family,White-Collar,White,Female,0,0,38,0
41,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,50,1
38,Government,Masters,Married,Husband,White-Collar,White,Male,0,0,70,1
23,Private,HS-grad,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
40,Private,Bachelors,Married,Husband,Professional,White,Male,0,0,40,1
41,Self-Employed,HS-grad,Married,Wife,Service,White,Female,0,0,20,0
24,Government,Assoc,Married,Husband,Service,White,Male,0,0,50,0
20,Other/Unknown,Some-college,Single,Own-child,Other/Unknown,White,Male,0,0,20,0
38,Private,Some-college,Divorced,Not-in-family,Blue-Collar,White,Male,0,1741,40,0
56,Private,HS-grad,Married,Husband,White-Collar,White,Male,0,0,35,0
58,Private,HS-grad,Married,Husband,White-Collar,White,Male,0,0,45,1
32,Private,HS-grad,Single,Not-in-family,Service,White,Female,0,0,34,0
40,Private,Assoc,Married,Husband,Service,White,Male,0,1977,60,1
45,Private,HS-grad,Married,Husband,White-Collar,White,Male,0,0,40,0
41,Private,Prof-school,Married,Wife,Professional,White,Female,0,0,40,1
42,Private,Bachelors,Married,Wife,White-Collar,Black,Female,0,0,40,0
59,Government,School,Widowed,Unmarried,Service,Black,Female,0,0,30,0
19,Government,Some-college,Single,Own-child,White-Collar,White,Male,0,0,40,0
58,Private,Some-college,Single,Not-in-family,Blue-Collar,White,Male,0,0,20,0
42,Self-Employed,HS-grad,Married,Husband,Blue-Collar,Asian-Pac-Islander,Male,0,0,40,1
20,Private,HS-grad,Single,Own-child,Service,White,Female,0,0,40,0
32,Private,HS-grad,Separated,Not-in-family,Service,White,Female,0,0,30,0
45,Private,Assoc,Widowed,Not-in-family,White-Collar,White,Female,0,0,45,0
50,Private,School,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,40,0
36,Private,Bachelors,Divorced,Own-child,Professional,White,Female,0,0,40,0
45,Private,HS-grad,Married,Husband,Sales,White,Male,0,0,60,0
17,Private,School,Single,Own-child,Service,White,Male,0,0,12,0
59,Private,Some-college,Married,Husband,Sales,White,Male,4064,0,40,0
26,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,40,0
37,Self-Employed,Some-college,Married,Husband,White-Collar,Asian-Pac-Islander,Male,0,0,75,1
19,Other/Unknown,Some-college,Single,Own-child,Other/Unknown,White,Male,0,0,24,0
64,Private,HS-grad,Married,Husband,White-Collar,White,Male,0,0,40,1
33,Private,Bachelors,Single,Not-in-family,Professional,White,Female,0,0,45,0
33,Private,HS-grad,Married,Wife,Blue-Collar,White,Female,0,0,40,1
61,Private,HS-grad,Married,Husband,White-Collar,White,Male,0,0,40,1
17,Private,School,Single,Own-child,Service,White,Male,1055,0,24,0
50,Self-Employed,Masters,Married,Husband,Blue-Collar,White,Male,2407,0,98,0
27,Government,Masters,Single,Own-child,Professional,White,Male,0,0,35,0
30,Private,HS-grad,Divorced,Own-child,Professional,White,Female,0,0,40,0
43,Private,HS-grad,Married,Husband,Blue-Collar,Black,Male,0,0,40,0
44,Private,Some-college,Married,Husband,Blue-Collar,White,Male,7298,0,40,1
35,Private,Some-college,Single,Not-in-family,White-Collar,White,Female,0,0,40,0
25,Private,Some-college,Single,Own-child,Service,White,Female,0,0,40,0
24,Private,Some-college,Married,Wife,Blue-Collar,White,Female,7298,0,48,1
22,Private,Bachelors,Single,Not-in-family,Professional,White,Female,0,0,15,0
42,Government,Some-college,Married,Husband,Blue-Collar,White,Male,5178,0,40,1
34,Private,Assoc,Divorced,Unmarried,Sales,Black,Female,0,0,45,0
60,Private,Bachelors,Divorced,Not-in-family,Professional,White,Female,0,0,42,0
21,Private,HS-grad,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
57,Government,Masters,Married,Husband,Sales,White,Male,15024,0,40,1
41,Private,Prof-school,Married,Husband,Professional,White,Male,0,0,60,1
50,Private,Some-college,Divorced,Not-in-family,Service,White,Male,0,0,45,0
25,Private,Bachelors,Single,Not-in-family,White-Collar,White,Female,0,0,40,0
50,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,40,0
36,Private,Bachelors,Married,Husband,Professional,White,Male,0,0,45,0
31,Private,HS-grad,Divorced,Not-in-family,Professional,White,Female,0,0,40,0
29,Government,Bachelors,Single,Not-in-family,Service,White,Male,0,0,56,0
21,Private,Some-college,Single,Own-child,Sales,White,Male,0,0,45,0
27,Private,Bachelors,Single,Unmarried,Service,Black,Female,0,0,40,0
65,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,16,0
37,Self-Employed,Bachelors,Divorced,Not-in-family,Sales,White,Female,0,0,60,0
39,Other/Unknown,Masters,Married,Wife,Other/Unknown,Asian-Pac-Islander,Female,3464,0,40,0
24,Private,HS-grad,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
38,Private,HS-grad,Divorced,Not-in-family,Sales,White,Male,0,0,80,0
48,Private,Bachelors,Married,Husband,White-Collar,White,Male,7688,0,40,1
21,Private,Some-college,Single,Not-in-family,Service,Asian-Pac-Islander,Female,0,0,25,0
31,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,45,1
55,Private,HS-grad,Married,Husband,Sales,White,Male,4386,0,40,1
24,Private,Some-college,Married,Wife,White-Collar,Asian-Pac-Islander,Female,0,0,40,0
43,Private,HS-grad,Divorced,Not-in-family,White-Collar,White,Female,0,0,40,0
26,Private,Assoc,Single,Not-in-family,Service,White,Male,0,0,45,0
46,Private,Assoc,Single,Not-in-family,Professional,White,Female,0,0,33,0
35,Private,Assoc,Married,Husband,White-Collar,White,Male,0,0,40,1
41,Self-Employed,Some-college,Married,Husband,Blue-Collar,White,Male,0,0,54,1
26,Private,Bachelors,Single,Not-in-family,Sales,White,Male,0,0,40,0
34,Private,Masters,Married,Husband,White-Collar,Asian-Pac-Islander,Male,7298,0,35,1
19,Other/Unknown,Some-college,Single,Own-child,Other/Unknown,Black,Female,0,0,25,0
36,Self-Employed,Bachelors,Divorced,Not-in-family,Professional,Black,Female,0,0,40,1
22,Private,Some-college,Single,Own-child,Sales,White,Male,0,0,15,0
24,Private,Some-college,Single,Not-in-family,Blue-Collar,White,Male,0,0,40,0
77,Self-Employed,Some-college,Married,Husband,Sales,White,Male,0,0,40,0
22,Private,School,Married,Other-relative,Blue-Collar,White,Female,0,0,40,0
29,Private,Some-college,Single,Not-in-family,Service,White,Female,0,0,40,0
62,Private,HS-grad,Widowed,Not-in-family,Service,White,Female,0,0,24,0
39,Self-Employed,HS-grad,Married,Husband,White-Collar,White,Male,0,0,40,0
43,Private,Some-college,Married,Husband,Blue-Collar,White,Male,0,1485,50,0
35,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,45,0
29,Private,School,Single,Not-in-family,White-Collar,White,Female,0,0,40,0
76,Self-Employed,Masters,Married,Husband,Blue-Collar,White,Male,0,0,10,0
63,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,45,0
23,Other/Unknown,Assoc,Single,Own-child,Other/Unknown,Black,Female,0,0,15,0
43,Private,Some-college,Married,Wife,Professional,White,Female,0,1887,50,1
58,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
66,Private,HS-grad,Single,Not-in-family,Blue-Collar,White,Male,2050,0,55,0
41,Private,Some-college,Single,Not-in-family,Blue-Collar,Black,Male,0,0,45,0
26,Private,Bachelors,Single,Not-in-family,White-Collar,White,Male,0,0,40,0
47,Private,Assoc,Single,Not-in-family,Service,White,Male,0,0,40,0
55,Government,School,Married,Husband,White-Collar,White,Male,0,0,40,0
53,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
17,Private,School,Single,Other-relative,Service,White,Male,0,0,48,0
30,Private,HS-grad,Single,Other-relative,Blue-Collar,White,Male,0,0,40,0
49,Private,Masters,Single,Not-in-family,Professional,White,Male,0,0,60,0
19,Private,HS-grad,Single,Unmarried,Sales,Black,Male,0,0,30,0
45,Private,HS-grad,Married,Husband,Service,Black,Male,0,0,40,0
26,Private,Assoc,Single,Not-in-family,Sales,White,Male,0,0,40,0
38,Private,Assoc,Married,Husband,Blue-Collar,White,Male,7298,0,40,1
36,Government,HS-grad,Married,Husband,Service,White,Male,7298,0,40,1
33,Private,HS-grad,Single,Not-in-family,Blue-Collar,White,Male,0,0,20,0
22,Government,Some-college,Single,Own-child,Service,Black,Female,0,0,40,0
43,Self-Employed,Bachelors,Single,Not-in-family,Sales,White,Male,0,0,42,0
67,Other/Unknown,School,Married,Husband,Other/Unknown,White,Male,0,0,8,0
30,Other/Unknown,Assoc,Divorced,Unmarried,Other/Unknown,White,Female,0,0,40,0
56,Private,Assoc,Married,Not-in-family,Service,White,Male,0,0,25,0
31,Private,Bachelors,Single,Own-child,Professional,White,Male,0,0,25,0
33,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,40,1
26,Private,HS-grad,Married,Husband,Service,White,Male,0,0,40,0
33,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,40,1
46,Government,School,Married,Husband,Blue-Collar,White,Male,0,0,30,0
59,Other/Unknown,Bachelors,Married,Husband,Other/Unknown,White,Male,0,0,40,1
38,Government,HS-grad,Married,Husband,White-Collar,White,Male,0,0,40,1
65,Private,School,Widowed,Unmarried,Service,Other,Male,0,0,40,0
40,Private,Assoc,Married,Husband,Service,White,Male,0,0,40,1
